# WoW API Quick Reference (1799 functions)
Format: FunctionName | signature | description
ChannelUnSilenceAll | ChannelUnSilenceAll("channelName", ["unit"] or ["name"]) or ChannelUnSilenceAll(channelId, ["unit"] or ["name"]) or ChannelUnSilenceAll(["channelName"] or [channelId], "unit") or ChannelUnSilenceAll(["channelName"] or [channelId], "name") | Unsilences a character for chat and voice on a channel
ChannelUnSilenceVoice | ChannelUnSilenceVoice("channelName", ["unit"] or ["name"]) or ChannelUnSilenceVoice(channelId, ["unit"] or ["name"]) or ChannelUnSilenceVoice(["channelName"] or [channelId], "unit") or ChannelUnSilenceVoice(["channelName"] or [channelId], "name") | Unsilences a character on a chat channel
ChannelVoiceOff | ChannelVoiceOff("channel") or ChannelVoiceOff(channelIndex) | Disables voice chat in a channel
ChannelVoiceOn | ChannelVoiceOn("channel") or ChannelVoiceOn(channelIndex) | Enables voice chat in a channel
ChatFrame_AddMessageEventFilter | ChatFrame_AddMessageEventFilter("event", filter) | Adds a function to filter or alter messages to the chat display system. The filter function will be called each time a m
ChatFrame_GetMessageEventFilters | filterTable = ChatFrame_GetMessageEventFilters("event") | Returns the list of filters registered for a chat event. See `ChatFrame_AddMessageEventFilter()` for details about chat 
ChatFrame_RemoveMessageEventFilter | ChatFrame_RemoveMessageEventFilter("event", filter) | Removes a previously set chat message filter. See `ChatFrame_AddMessageEventFilter()` for details about chat message fil
CheckBinderDist | inRange = CheckBinderDist() | Returns whether the player is in range of an NPC that can set the Hearthstone location. Usable following the `CONFIRM_BI
CheckInbox | CheckInbox() | Requests the player's mailbox information from the server. When the client has received the inbox information the MAIL_I
CheckInteractDistance | canInteract = CheckInteractDistance("unit", distIndex) | Returns whether the player is close enough to a unit for certain types of interaction
CheckSpiritHealerDist | inRange = CheckSpiritHealerDist() | Returns whether the player is in range of a spirit healer. Usable following the `CONFIRM_XP_LOSS` event which fires upon
CheckTalentMasterDist | inRange = CheckTalentMasterDist() | Returns whether the player is in range of an NPC that can reset talents. Usable following the `CONFIRM_TALENT_WIPE` even
ClearAchievementComparisonUnit | ClearAchievementComparisonUnit() | Disables comparing achievements/statistics with another player
ClearCursor | ClearCursor() | Clears any contents attached to the cursor. If the cursor contains an item picked up from inventory (equipment slots) or
ClearFocus | ClearFocus() | Clears the player's focus unit
ClearInspectPlayer | ClearInspectPlayer() | Ends inspection of another character. After this function is called, data about the inspected unit may not be available 
ClearOverrideBindings | ClearOverrideBindings(owner) | Clears any registered override bindings for a given owner. An override binding is a temporary key or click binding that 
ClearPartyAssignment | ClearPartyAssignment("assignment" [, "unit"]) or ClearPartyAssignment("assignment" [, "name" [, exactMatch]]) | Removes a group role assignment from a member of the player's party or raid. If no unit (or name) is given, removes the 
ClearSendMail | ClearSendMail() | Clears any text, items, or money from the mail message to be sent
ClearTarget | ClearTarget() | Clears the player's current target
ClearTutorials | ClearTutorials() | Disables contextual tutorial display
ClickAuctionSellItemButton | ClickAuctionSellItemButton() | Picks up an item from or puts an item into the "Create Auction" slot. If the cursor is empty and the slot contains an it
ClickLandmark | ClickLandmark(mapLinkID) | Processes a hyperlink associated with a map landmark. Possible landmarks include PvP objectives (both in battlegrounds a
ClickSendMailItemButton | ClickSendMailItemButton(index, autoReturn) | Picks up an item from or puts an item into an attachment slot for sending mail. If the cursor is empty and the mail atta
ClickSocketButton | ClickSocketButton(index) | Picks up or places a gem in the Item Socketing UI. If the Item Socketing UI is open and the cursor contains a socketable
ClickStablePet | selected = ClickStablePet(index) | Inspects or moves a pet in the Pet Stable UI. Action taken depends on cursor contents as well as the `index` passed:
ClickTargetTradeButton | ClickTargetTradeButton(index) | Interacts with an item in a slot offered for trade by the target. Only meaningful when used with the last (7th) trade sl
ClickTradeButton | ClickTradeButton(index) | Clicks a specific trade window button. This function can be used to place items in the trade window from the cursor, or 
CloseArenaTeamRoster | CloseArenaTeamRoster() | Ends interaction with the Arena Team Roster. Called in the default UI when closing the Arena Team Roster frame. After th
CloseAuctionHouse | CloseAuctionHouse() | Ends interaction with the Auction House UI. Causes the `AUCTION_HOUSE_CLOSED` event to fire, indicating that Auction-rel
CloseBankFrame | CloseBankFrame() | Ends interaction with the bank. Causes the `BANKFRAME_CLOSED` event to fire, indicating that APIs querying bank contents
CloseBattlefield | CloseBattlefield() | Ends interaction with the battleground queueing UI. Causes the `BATTLEFIELDS_CLOSED` event to fire, indicating that Batt
CloseGossip | CloseGossip() | Ends an NPC "gossip" interaction. Causes the `GOSSIP_CLOSED` event to fire, indicating that Gossip APIs may no longer ha
CloseGuildBankFrame | CloseGuildBankFrame() | Ends interaction with the guild bank vault. Fires the `GUILDBANKFRAME_CLOSED` event, indicating that APIs related to the
CloseGuildRegistrar | CloseGuildRegistrar() | Ends interaction with a guild registrar. Fires the `GUILD_REGISTRAR_CLOSED` event, indicating that guild registrar APIs 
CloseItemText | CloseItemText() | Ends interaction with a text object or item. Causes the `ITEM_TEXT_CLOSED` event to fire, indicating that ItemText APIs 
CloseLoot | CloseLoot() | Ends interaction with a lootable corpse or object. Causes the `LOOT_CLOSED` event to fire, indicating that Loot APIs may
CloseMail | CloseMail() | Ends interaction with a mailbox. Fires the `MAIL_CLOSED` event, indicating that Mail/Inbox APIs may no longer have effec
CloseMerchant | CloseMerchant() | Ends interaction with a vendor. Causes the `MERCHANT_CLOSED` event to fire, indicating that Merchant APIs may no longer 
ClosePetition | ClosePetition() | Ends interaction with a petition. Fires the `PETITION_CLOSED` event, indicating that Petition APIs may no longer have ef
ClosePetStables | ClosePetStables() | Ends use of the Pet Stables UI/API. Causes the `PET_STABLE_CLOSED` event to fire, indicating that stables-related APIs a
CloseQuest | CloseQuest() | Ends interaction with a questgiver. Fires the `QUEST_FINISHED` event, indicating that questgiver-related APIs may no lon
CloseSocketInfo | CloseSocketInfo() | Ends interaction with the Item Socketing UI, discarding any changes made. Causes the `SOCKET_INFO_CLOSE` event to fire, 
CloseTabardCreation | CloseTabardCreation() | Ends interaction with the guild tabard creator. Fires the `CLOSE_TABARD_FRAME` event, indicating that tabard creation AP
CloseTaxiMap | CloseTaxiMap() | Ends interaction with the Taxi (flight master) UI. Causes the `TAXIMAP_CLOSED` event to fire, indicating that Taxi APIs 
CloseTrade | CloseTrade() | Ends interaction with the Trade UI, canceling any trade in progress. Causes the `TRADE_CLOSED` event to fire, indicating
CloseTradeSkill | CloseTradeSkill() | Ends interaction with the Trade Skill UI. Fires the `TRADE_SKILL_CLOSE` event, indicating that TradeSkill APIs may no lo
CloseTrainer | CloseTrainer() | Ends interaction with a trainer. Fires the `TRAINER_CLOSED` event, indicating that Trainer APIs may no longer have effec
CollapseAllFactionHeaders | CollapseAllFactionHeaders() | Collapses all headers and sub-headers in the Reputation UI. This function works for both major groups (Classic, Burning 
CollapseChannelHeader | CollapseChannelHeader(index) | Collapses a group header in the chat channel listing
CollapseFactionHeader | CollapseFactionHeader(index) | Collapses a given faction header or sub-header in the Reputation UI.
CollapseQuestHeader | CollapseQuestHeader(questIndex) | Collapses a header in the quest log
CollapseTradeSkillSubClass | CollapseTradeSkillSubClass(index) | Collapses a group header in the trade skill listing. Causes an error if `index` does not refer to a header.
collectgarbage | collectgarbage(option [, arg]) | Interface to the Lua garbage collector
CombatLog_Object_IsA | isMatch = CombatLog_Object_IsA(unitFlags, mask) | Returns whether an entity from the combat log matches a given filter
CombatLogAddFilter | CombatLogAddFilter("events", "srcGUID", ["destGUID"] or [destMask]) or CombatLogAddFilter("events", srcMask, ["destGUID"] or [destMask]) or CombatLogAddFilter("events", ["srcGUID"] or [srcMask], "destGUID") or CombatLogAddFilter("events", ["srcGUID"] or [srcMask], destMask) | Adds a filter to the combat log system. Each time this function is called a new filter is added to the combat log system
